polish,english,category,subtext,accepted_answers,frequency_rank
powiedziec,say,misc,"(also: mówcie, say)","[""say"",""powiedziec"",""mówcie"",""mowcie""]",37
ekspertem,expert,misc,,"[""expert""]",38
dolara,dollar,misc,,"[""dollar""]",39
zmienię,change,misc,(also: zmień),"[""change"",""zmienię"",""zmienie"",""zmień"",""zmien""]",40
brzegu,shore,misc,,"[""shore""]",41
trudna,difficult,adjective,,"[""difficult""]",42
wynika,results,misc,(also: wyników),"[""results"",""wynika"",""wyników"",""wynikow""]",43
korytarzu,corridor,misc,"(also: korytarza, korytarz)","[""corridor"",""korytarzu"",""korytarza"",""korytarz""]",44
wola,will,misc,(also: testament),"[""will"",""wola"",""testament""]",45
zachowaj,keep,misc,,"[""keep""]",46
ukradłeś,you stole,misc,,"[""you stole""]",47
właściwy,proper,adjective,"(also: właściwą, właściwym)","[""proper"",""właściwy"",""wlasciwy"",""właściwą"",""wlasciwa"",""właściwym"",""wlasciwym""]",48
uratowałeś,you saved,misc,,"[""you saved""]",49
stałeś,you stood,misc,,"[""you stood""]",50
raju,paradise,misc,,"[""paradise""]",51
wyrazić,express,verb,,"[""express""]",52
obudzi,will wake up,misc,,"[""will wake up""]",53
tematu,topic,misc,,"[""topic""]",54
błędu,error,misc,"(also: błędzie, błędem)","[""error"",""błędu"",""bledu"",""błędzie"",""bledzie"",""błędem"",""bledem""]",55
pozdrowienia,greetings,noun,(also: pozdrów),"[""greetings"",""pozdrowienia"",""pozdrów"",""pozdrow""]",56
taśmy,tapes,misc,,"[""tapes""]",57
zgonu,death,misc,,"[""death""]",58
pilne,urgent,adjective,,"[""urgent""]",59
kurczak,chicken,misc,(also: kurna),"[""chicken"",""kurczak"",""kurna""]",60
zobaczcie,see,noun,"(also: widywać, see, widze)","[""see"",""zobaczcie"",""widywać"",""widywac"",""widze""]",61
próbkę,sample,misc,,"[""sample""]",62
mordercę,murderer,misc,,"[""murderer""]",63
autobusu,bus,misc,(also: autobusie),"[""bus"",""autobusu"",""autobusie""]",64
panienki,ladies,misc,,"[""ladies""]",65
oddycha,breathes,misc,,"[""breathes""]",66
emocji,emotions,misc,,"[""emotions""]",67
zapamiętaj,remember,misc,,"[""remember""]",68
średniej,average,misc,,"[""average""]",69
fałszywy,fake,adjective,,"[""fake""]",70
lubić,like,verb,"(also: jakże, lubie)","[""like"",""lubić"",""lubic"",""jakże"",""jakze"",""lubie""]",71
pomysłów,ideas,misc,,"[""ideas""]",72
garść,handful,misc,,"[""handful""]",73
amerykanów,americans,misc,,"[""americans""]",74
zjadł,ate,misc,,"[""ate""]",75
istnieć,exist,verb,,"[""exist""]",76
dawniej,formerly,misc,,"[""formerly""]",77
obawy,concerns,adjective,(also: niepokoi),"[""concerns"",""obawy"",""niepokoi""]",78
nadzieją,hope,misc,(also: hope),"[""hope"",""nadzieją"",""nadzieja""]",79
blue,blue,misc,,"[""blue""]",80
świadomość,awareness,noun,(also: przytomność),"[""awareness"",""świadomość"",""swiadomosc"",""przytomność"",""przytomnosc""]",81
zeznanie,testimony,noun,(also: zeznań),"[""testimony"",""zeznanie"",""zeznań"",""zeznan""]",82
mikołaj,mikołaj,misc,,"[""mikołaj""]",83
cleveland,cleveland,misc,,"[""cleveland""]",84
pogadam,chat,misc,(also: pogadaj),"[""chat"",""pogadam"",""pogadaj""]",85
bazę,base,misc,,"[""base""]",86
helikopter,helicopter,misc,,"[""helicopter""]",87
bogaci,rich,misc,(also: bogata),"[""rich"",""bogaci"",""bogata""]",88
agentka,agent,misc,(also: agentko),"[""agent"",""agentka"",""agentko""]",89
trzeciego,third,misc,"(also: trzecim, trzecią)","[""third"",""trzeciego"",""trzecim"",""trzecią"",""trzecia""]",90
meredith,meredith,misc,,"[""meredith""]",91
marynarki,jackets,misc,,"[""jackets""]",92
jessica,jessica,misc,,"[""jessica""]",93
kosza,trash,misc,,"[""trash""]",94
pijana,drunk,adjective,,"[""drunk""]",95
dowcip,joke,misc,(also: żartuj),"[""joke"",""dowcip"",""żartuj"",""zartuj""]",96
cholerną,damn,misc,"(also: cholerę, cholernym, cholernego)","[""damn"",""cholerną"",""cholerna"",""cholerę"",""cholere"",""cholernym"",""cholernego""]",97
nauczysz,teach,misc,"(also: naucz, uczą)","[""teach"",""nauczysz"",""naucz"",""uczą"",""ucza""]",98
myśląc,thinking,misc,(also: myślenie),"[""thinking"",""myśląc"",""myslac"",""myślenie"",""myslenie""]",99
starasz,you try,misc,,"[""you try""]",100
zasłużył,deserved,misc,(also: zasłużyłem),"[""deserved"",""zasłużył"",""zasluzyl"",""zasłużyłem"",""zasluzylem""]",101
przychodzę,come,misc,"(also: przyjedź, przyjadą, przyjedziesz)","[""come"",""przychodzę"",""przychodze"",""przyjedź"",""przyjedz"",""przyjadą"",""przyjada"",""przyjedziesz""]",102
spowodować,cause,verb,"(also: przyczyna, sprawię)","[""cause"",""spowodować"",""spowodowac"",""przyczyna"",""sprawię"",""sprawie""]",103
dzieciakiem,kid,misc,,"[""kid""]",104
ulice,streets,misc,,"[""streets""]",105
troszeczkę,bit,misc,,"[""bit""]",106
oddawaj,donate,misc,"(also: daruj, dawajcie, oddaję)","[""donate"",""oddawaj"",""daruj"",""dawajcie"",""oddaję"",""oddaje""]",107
sąsiedzi,neighbors,misc,,"[""neighbors""]",108
dniach,days,misc,(also: dniami),"[""days"",""dniach"",""dniami""]",109
zamierzamy,we intend,misc,,"[""we intend""]",110
gatunek,genre,misc,,"[""genre""]",111
zebranie,meeting,noun,,"[""meeting""]",112
wiedzę,knowledge,misc,,"[""knowledge""]",113
siedzimy,we sit,misc,,"[""we sit""]",114
dobrymi,good,misc,(also: good),"[""good"",""dobrymi""]",115
zmysły,senses,misc,,"[""senses""]",116
sue,sue,misc,,"[""sue""]",117
znałam,I knew,misc,,"[""i knew""]",118
złapią,catch,misc,"(also: złapię, łapię, złapiemy, łapiesz, łapać)","[""catch"",""złapią"",""zlapia"",""złapię"",""zlapie"",""łapię"",""lapie"",""złapiemy"",""zlapiemy"",""łapiesz"",""lapiesz"",""łapać"",""lapac""]",119
now,now,misc,,"[""now""]",120
okropna,awful,adjective,,"[""awful""]",121
przygotowany,prepared,adjective,,"[""prepared""]",122
odcisk,imprint,misc,,"[""imprint""]",123
zapominaj,forget,misc,"(also: zapomnijcie, zapomnisz, zapomnijmy)","[""forget"",""zapominaj"",""zapomnijcie"",""zapomnisz"",""zapomnijmy""]",124
wariat,madman,misc,,"[""madman""]",125
zostawia,leaves,misc,"(also: wyjeżdża, opuszcza)","[""leaves"",""zostawia"",""wyjeżdża"",""wyjezdza"",""opuszcza""]",126
magazynie,magazine,adverb,,"[""magazine""]",127
krzywdę,harm,misc,(also: krzywda),"[""harm"",""krzywdę"",""krzywde"",""krzywda""]",128
brudne,dirty,adjective,(also: brudny),"[""dirty"",""brudne"",""brudny""]",129
biegiem,run,misc,"(also: bieg, biegać, biec)","[""run"",""biegiem"",""bieg"",""biegać"",""biegac"",""biec""]",130
słonko,elephant,misc,,"[""elephant""]",131
naturalne,natural,adjective,(also: naturalny),"[""natural"",""naturalne"",""naturalny""]",132
castle,castle,misc,,"[""castle""]",133
zaskoczona,surprised,adjective,,"[""surprised""]",134
skończony,finished,adjective,(also: skończyłaś),"[""finished"",""skończony"",""skonczony"",""skończyłaś"",""skonczylas""]",135
april,april,misc,(also: kwietnia),"[""april"",""kwietnia""]",136
jadłem,I ate,misc,(also: zjadłem),"[""i ate"",""jadłem"",""jadlem"",""zjadłem"",""zjadlem""]",137
green,green,misc,(also: zielonego),"[""green"",""zielonego""]",138
bystry,smart,misc,(also: inteligentny),"[""smart"",""bystry"",""inteligentny""]",139
podejrzewam,suspect,misc,(also: podejrzanym),"[""suspect"",""podejrzewam"",""podejrzanym""]",140
używał,used,misc,(also: wykorzystał),"[""used"",""używał"",""uzywal"",""wykorzystał"",""wykorzystal""]",141
odkrył,discovered,misc,,"[""discovered""]",142
zabiło,killed,misc,"(also: zabita, zabitych)","[""killed"",""zabiło"",""zabilo"",""zabita"",""zabitych""]",143
dorosły,adult,misc,(also: dorosła),"[""adult"",""dorosły"",""dorosly"",""dorosła"",""dorosla""]",144
niekoniecznie,not necessarily,adverb,,"[""not necessarily""]",145
języku,language,misc,(also: językiem),"[""language"",""języku"",""jezyku"",""językiem"",""jezykiem""]",146
zdolność,capacity,noun,,"[""capacity""]",147
zostawili,left,misc,"(also: lewa, lewą, opuściła, zostawiłaś)","[""left"",""zostawili"",""lewa"",""lewą"",""opuściła"",""opuscila"",""zostawiłaś"",""zostawilas""]",148
salonie,showroom,adverb,"(also: salon, salonu)","[""showroom"",""salonie"",""salon"",""salonu""]",149
odbędzie,will be held,misc,,"[""will be held""]",150
wspominał,mentioned,misc,(also: wspomniał),"[""mentioned"",""wspominał"",""wspominal"",""wspomniał"",""wspomnial""]",151
względem,against,misc,,"[""against""]",152
przybyłem,arrived,misc,"(also: dotarł, dotarło)","[""arrived"",""przybyłem"",""przybylem"",""dotarł"",""dotarl"",""dotarło"",""dotarlo""]",153
ponoć,reportedly,misc,,"[""reportedly""]",154
burke,burke,misc,,"[""burke""]",155
kurtkę,jacket,misc,,"[""jacket""]",156
oszalał,mad,misc,,"[""mad""]",157
świętować,celebrate,verb,"(also: uczcić, obchodzą)","[""celebrate"",""świętować"",""swietowac"",""uczcić"",""uczcic"",""obchodzą"",""obchodza""]",158
kosztowało,cost,misc,(also: kosztować),"[""cost"",""kosztowało"",""kosztowalo"",""kosztować"",""kosztowac""]",159
czynsz,rent,misc,(also: wynająć),"[""rent"",""czynsz"",""wynająć"",""wynajac""]",160
rodzin,families,misc,,"[""families""]",161
angielski,English,adjective,(also: angielskiego),"[""english"",""angielski"",""angielskiego""]",162
zapomniałaś,you forgot,misc,,"[""you forgot""]",163
okolicznościach,circumstances,misc,,"[""circumstances""]",164
murphy,murphy,misc,,"[""murphy""]",165
pogrzebie,funeral,misc,,"[""funeral""]",166
tajemnic,secrets,misc,(also: sekretów),"[""secrets"",""tajemnic"",""sekretów"",""sekretow""]",167
przyjechałam,came,misc,"(also: przyjechali, przybyli, przychodził)","[""came"",""przyjechałam"",""przyjechalam"",""przyjechali"",""przybyli"",""przychodził"",""przychodzil""]",168
zdecydował,decided,misc,"(also: postanowił, zdecydowałam, postanowiłam)","[""decided"",""zdecydował"",""zdecydowal"",""postanowił"",""postanowil"",""zdecydowałam"",""zdecydowalam"",""postanowiłam"",""postanowilam""]",169
kolejnej,another,misc,,"[""another""]",170
reakcja,reaction,misc,(also: reakcję),"[""reaction"",""reakcja"",""reakcję"",""reakcje""]",171
gwen,gwen,misc,,"[""gwen""]",172
wkurzony,pissed,adjective,(also: wkurzona),"[""pissed"",""wkurzony"",""wkurzona""]",173
naszemu,our,misc,,"[""our""]",175
zdradził,revealed,misc,,"[""revealed""]",176
grób,grave,misc,"(also: grobu, grobie)","[""grave"",""grób"",""grob"",""grobu"",""grobie""]",177
ręku,hand,misc,,"[""hand""]",178
państwu,to you,misc,,"[""to you"",""you""]",179
scully,scully,misc,,"[""scully""]",180
społeczeństwo,society,noun,,"[""society""]",182
rzut,projection,misc,,"[""projection""]",183
jaskini,cave,misc,,"[""cave""]",184
strzela,shoots,misc,,"[""shoots""]",185
honoru,honor,misc,,"[""honor""]",186
staniesz,you will stand,misc,,"[""you will stand""]",187
mostu,bridge,misc,,"[""bridge""]",188
tworzy,creates,misc,,"[""creates""]",189
tęsknić,longing,verb,,"[""longing""]",190
wpuść,Enter,misc,"(also: wejdę, wejdziemy, wejdźcie, wchodźcie)","[""enter"",""wpuść"",""wpusc"",""wejdę"",""wejde"",""wejdziemy"",""wejdźcie"",""wejdzcie"",""wchodźcie"",""wchodzcie""]",191
przyrzekam,pledge,misc,,"[""pledge""]",192
zdjęciu,photo,misc,,"[""photo""]",193
znałeś,you knew,misc,,"[""you knew""]",194
usłyszał,heard,misc,"(also: słyszała, słyszeli)","[""heard"",""usłyszał"",""uslyszal"",""słyszała"",""slyszala"",""słyszeli"",""slyszeli""]",195
materiały,materials,misc,(also: materiałów),"[""materials"",""materiały"",""materialy"",""materiałów"",""materialow""]",196
załatwimy,get,misc,"(also: zdobędę, dostaną, dostaniecie, dopaść, dostają, załatwi, otrzymać, zdobędziemy, zdobądź)","[""get"",""załatwimy"",""zalatwimy"",""zdobędę"",""zdobede"",""dostaną"",""dostana"",""dostaniecie"",""dopaść"",""dopasc"",""dostają"",""dostaja"",""załatwi"",""zalatwi"",""otrzymać"",""otrzymac"",""zdobędziemy"",""zdobedziemy"",""zdobądź"",""zdobadz""]",197
zaczynajmy,let's get started,misc,,"[""let's get started""]",198
kary,penalties,misc,,"[""penalties""]",199
uczył,taught,misc,(also: nauczyłam),"[""taught"",""uczył"",""uczyl"",""nauczyłam"",""nauczylam""]",200
zespole,team,misc,"(also: zespołem, ekipę, drużyną)","[""team"",""zespole"",""zespołem"",""zespolem"",""ekipę"",""ekipe"",""drużyną"",""druzyna""]",201
oszukać,fool,misc,"(also: głupcze, głupiec, głupka)","[""fool"",""oszukać"",""oszukac"",""głupcze"",""glupcze"",""głupiec"",""glupiec"",""głupka"",""glupka""]",202
systemie,system,misc,(also: układu),"[""system"",""systemie"",""układu"",""ukladu""]",203
winę,blame,misc,(also: winię),"[""blame"",""winę"",""wine"",""winię"",""winie""]",204
panów,gentlemen,misc,,"[""gentlemen""]",205
zachodu,west,misc,"(also: zachodzie, zach)","[""west"",""zachodu"",""zachodzie"",""zach""]",206
spędzać,spend,misc,,"[""spend""]",207
domowe,home,adjective,(also: domowej),"[""home"",""domowe"",""domowej""]",208
lex,lex,misc,,"[""lex""]",209
podziwiam,admire,misc,,"[""admire""]",210
tchórzem,coward,misc,(also: tchórz),"[""coward"",""tchórzem"",""tchorzem"",""tchórz"",""tchorz""]",211
bratu,brother,misc,(also: braciszku),"[""brother"",""bratu"",""braciszku""]",212
poznała,met,misc,"(also: spotkałeś, spotkała, spotkali, poznali)","[""met"",""poznała"",""poznala"",""spotkałeś"",""spotkales"",""spotkała"",""spotkala"",""spotkali"",""poznali""]",213
wzór,design,misc,,"[""design""]",214
burmistrza,mayor,misc,,"[""mayor""]",215
have,have,misc,(also: miec),"[""have"",""miec""]",216
wniosku,application,misc,,"[""application""]",217
dostali,got,misc,,"[""got""]",218
harris,harris,misc,,"[""harris""]",219
when,when,misc,,"[""when""]",220
stację,station,misc,,"[""station""]",221
harper,harper,misc,,"[""harper""]",222
słabość,weakness,noun,,"[""weakness""]",223
trójka,three,misc,"(also: troje, trójkę, trzema)","[""three"",""trójka"",""trojka"",""troje"",""trójkę"",""trojke"",""trzema""]",224
nienawiść,hatred,misc,(also: nienawiści),"[""hatred"",""nienawiść"",""nienawisc"",""nienawiści"",""nienawisci""]",225
brzmiało,sounded,misc,(also: zabrzmiało),"[""sounded"",""brzmiało"",""brzmialo"",""zabrzmiało"",""zabrzmialo""]",226
dupa,ass,misc,,"[""ass""]",227
ucho,ear,misc,(also: uch),"[""ear"",""ucho"",""uch""]",228
wygrasz,you win,misc,,"[""you win""]",229
szukając,looking for,misc,,"[""looking for""]",230
wallace,wallace,misc,,"[""wallace""]",231
wydarzeń,events,misc,(also: zdarzenia),"[""events"",""wydarzeń"",""wydarzen"",""zdarzenia""]",233
wampiry,vampires,misc,(also: wampirów),"[""vampires"",""wampiry"",""wampirów"",""wampirow""]",234
metody,methods,misc,,"[""methods""]",235
członek,Member,misc,(also: członka),"[""member"",""członek"",""czlonek"",""członka"",""czlonka""]",236
eksperyment,experiment,misc,,"[""experiment""]",237
wstrzymać,hold,misc,"(also: potrzymaj, potrzymać, przytrzymaj)","[""hold"",""wstrzymać"",""wstrzymac"",""potrzymaj"",""potrzymać"",""potrzymac"",""przytrzymaj""]",238
narzędzie,tool,misc,(also: narzędziem),"[""tool"",""narzędzie"",""narzedzie"",""narzędziem"",""narzedziem""]",239
elliot,elliot,misc,,"[""elliot""]",240
starzy,old,misc,,"[""old""]",241
rosji,russia,misc,,"[""russia""]",242
prywatny,private,adjective,"(also: prywatna, prywatnym)","[""private"",""prywatny"",""prywatna"",""prywatnym""]",243
style,styles,misc,,"[""styles""]",244
ważną,important,misc,"(also: ważnym, ważnych)","[""important"",""ważną"",""wazna"",""ważnym"",""waznym"",""ważnych"",""waznych""]",245
dżungli,jungle,misc,,"[""jungle""]",246
sugerujesz,you suggest,misc,,"[""you suggest""]",247
spałam,I slept,misc,,"[""i slept""]",248
przejechać,traverse,misc,(also: przechodzić),"[""traverse"",""przejechać"",""przejechac"",""przechodzić"",""przechodzic""]",249
karku,neck,misc,(also: szyję),"[""neck"",""karku"",""szyję"",""szyje""]",250
dochodzi,comes,misc,,"[""comes""]",251
inspektor,inspector,misc,(also: inspektorze),"[""inspector"",""inspektor"",""inspektorze""]",252
kobieto,woman,misc,,"[""woman""]",253
dniem,day,misc,"(also: day, dzien)","[""day"",""dniem"",""dzien""]",254
kampanii,campaign,misc,,"[""campaign""]",257
włosami,hair,misc,"(also: włos, włosach)","[""hair"",""włosami"",""wlosami"",""włos"",""wlos"",""włosach"",""wlosach""]",258
dodatek,supplement,misc,,"[""supplement""]",259
kuli,bullets,misc,(also: kul),"[""bullets"",""kuli"",""kul""]",260
pomożemy,we'll help,misc,,"[""we'll help""]",261
paczkę,package,misc,(also: spakować),"[""package"",""paczkę"",""paczke"",""spakować"",""spakowac""]",262
strefy,zones,misc,,"[""zones""]",263
piszą,write,misc,"(also: napisz, napiszę)","[""write"",""piszą"",""pisza"",""napisz"",""napiszę"",""napisze""]",264
mel,mel,misc,,"[""mel""]",265
dwójkę,two,misc,(also: dwojga),"[""two"",""dwójkę"",""dwojke"",""dwojga""]",266
bądźmy,Let's be,misc,,"[""let's be""]",267
płuc,lungs,misc,(also: płuca),"[""lungs"",""płuc"",""pluc"",""płuca"",""pluca""]",268
pułapkę,trap,misc,,"[""trap""]",269
minęły,past,misc,,"[""past""]",270
facetami,guys,misc,(also: chłopakami),"[""guys"",""facetami"",""chłopakami"",""chlopakami""]",271
zakochana,in love,adjective,,"[""in love""]",272
williams,williams,misc,,"[""williams""]",273
ronnie,ronnie,adverb,,"[""ronnie""]",274
miałoby,would have,misc,(also: mieliby),"[""would have"",""miałoby"",""mialoby"",""mieliby""]",275
spierdalaj,fuck off,misc,,"[""fuck off""]",276
benny,benny,adjective,,"[""benny""]",277
pozwolą,allow,misc,"(also: dopuścić, pozwalają)","[""allow"",""pozwolą"",""pozwola"",""dopuścić"",""dopuscic"",""pozwalają"",""pozwalaja""]",278
road,road,misc,,"[""road""]",279
kierowcy,drivers,misc,,"[""drivers""]",280
więź,link,misc,(also: połącz),"[""link"",""więź"",""wiez"",""połącz"",""polacz""]",281
sukienka,dress,misc,,"[""dress""]",282
potrafił,was able to,misc,,"[""was able to""]",283
nastrój,mood,misc,,"[""mood""]",284
planujesz,planning,misc,,"[""planning""]",285
ubrań,clothes,misc,,"[""clothes""]",286
biała,white,misc,(also: białą),"[""white"",""biała"",""biala"",""białą""]",287
humor,humor,misc,,"[""humor""]",288
należało,should have been,misc,,"[""should have been""]",289
poproś,ask,misc,"(also: spytam, pytają)","[""ask"",""poproś"",""popros"",""spytam"",""pytają"",""pytaja""]",290
cieszysz,enjoy,misc,"(also: bawcie, cieszymy)","[""enjoy"",""cieszysz"",""bawcie"",""cieszymy""]",291
kłamię,lie,misc,"(also: kłamią, kłam, kłamstwem)","[""lie"",""kłamię"",""klamie"",""kłamią"",""klamia"",""kłam"",""klam"",""kłamstwem"",""klamstwem""]",293
bał,idol,misc,,"[""idol""]",294
jonathan,jonathan,misc,,"[""jonathan""]",295
zostają,stay,misc,(also: pobyt),"[""stay"",""zostają"",""zostaja"",""pobyt""]",296
projektu,project,misc,,"[""project""]",297
niepotrzebnie,unnecessarily,adverb,,"[""unnecessarily""]",298
genialne,brilliant,adjective,(also: genialny),"[""brilliant"",""genialne"",""genialny""]",299
mej,my,misc,"(also: mym, mych, mą)","[""my"",""mej"",""mym"",""mych"",""mą"",""ma""]",300
haley,haley,misc,,"[""haley""]",301
poznasz,get to know,misc,,"[""get to know""]",302
ściągnąć,download,verb,,"[""download""]",303
telewizję,TV,misc,,"[""tv""]",304
szafie,cabinet,misc,"(also: gabinet, szafce)","[""cabinet"",""szafie"",""gabinet"",""szafce""]",305
grzeczny,polite,adjective,(also: grzeczna),"[""polite"",""grzeczny"",""grzeczna""]",306
evan,evan,misc,,"[""evan""]",307
towarzyszu,comrade,misc,,"[""comrade""]",308
przypadkowo,accidentally,adverb,,"[""accidentally""]",309
przejażdżkę,ride,misc,,"[""ride""]",310
korzyści,benefits,misc,,"[""benefits""]",311
menu,menu,misc,,"[""menu""]",312
faktem,fact,misc,(also: faktu),"[""fact"",""faktem"",""faktu""]",313
wagi,weights,misc,,"[""weights""]",314
poszukam,I'll look for,misc,,"[""i'll look for""]",315
słówko,word,misc,(also: wyraz),"[""word"",""słówko"",""slowko"",""wyraz""]",316
video,video,misc,,"[""video""]",317
wydaję,issue,misc,,"[""issue""]",318
wyścigu,race,misc,,"[""race""]",319
dym,smoke,misc,(also: palisz),"[""smoke"",""dym"",""palisz""]",320
energia,energy,misc,,"[""energy""]",321
szczęśliwie,happily,adverb,,"[""happily""]",322
weszła,entered,misc,"(also: wszedłem, weszli)","[""entered"",""weszła"",""weszla"",""wszedłem"",""wszedlem"",""weszli""]",323
pamiętał,remembered,misc,,"[""remembered""]",324
wynosi,is,misc,,"[""is""]",325
tamtych,those,misc,(also: tamte),"[""those"",""tamtych"",""tamte""]",326
szło,went,misc,"(also: pojechała, poszły, pojechali)","[""went"",""szło"",""szlo"",""pojechała"",""pojechala"",""poszły"",""poszly"",""pojechali""]",327
komandor,Commodore,misc,,"[""commodore""]",328
oskarżenie,accusation,noun,,"[""accusation""]",329
wykonywać,perform,misc,,"[""perform""]",331
tort,cake,misc,(also: ciastko),"[""cake"",""tort"",""ciastko""]",332
poszukiwaniu,search,misc,"(also: przeszukać, poszukaj)","[""search"",""poszukiwaniu"",""przeszukać"",""przeszukac"",""poszukaj""]",333
katherine,katherine,adjective,,"[""katherine""]",334
not,not,misc,,"[""not""]",335
czerwona,red,adjective,"(also: czerwonym, czerwonego, czerwoną)","[""red"",""czerwona"",""czerwonym"",""czerwonego"",""czerwoną""]",336
pójdą,will go,misc,(also: pojedzie),"[""will go"",""pójdą"",""pojda"",""pojedzie""]",337
miłym,nice,misc,(also: ładną),"[""nice"",""miłym"",""milym"",""ładną"",""ladna""]",338
wysyła,sends,misc,,"[""sends""]",339
wywołać,prompt,misc,,"[""prompt""]",340
ekipy,teams,misc,,"[""teams""]",341
ubezpieczenie,insurance,noun,(also: ubezpieczenia),"[""insurance"",""ubezpieczenie"",""ubezpieczenia""]",342
sprawdza,checks,misc,,"[""checks""]",343
wierze,believes,adverb,,"[""believes""]",344
szanuję,I respect,misc,,"[""i respect""]",345
znika,disappears,misc,,"[""disappears""]",346
spotkasz,you will meet,misc,,"[""you will meet""]",347
numerem,number,misc,(also: liczbę),"[""number"",""numerem"",""liczbę"",""liczbe""]",348
zabijają,kill,misc,"(also: zabicia, zabijemy, zabijaj)","[""kill"",""zabijają"",""zabijaja"",""zabicia"",""zabijemy"",""zabijaj""]",349
warunkiem,condition,misc,,"[""condition""]",350
brody,beards,misc,,"[""beards""]",351
swym,with its,misc,,"[""with its""]",352
strażnicy,guards,misc,,"[""guards""]",353
poznajesz,meet,misc,(also: poznam),"[""meet"",""poznajesz"",""poznam""]",354
polityka,policy,misc,,"[""policy""]",355
marka,brand,misc,,"[""brand""]",356
padnij,fall,misc,(also: spadam),"[""fall"",""padnij"",""spadam""]",357
spodziewałam,expected,misc,,"[""expected""]",358
ciepła,warm,misc,(also: ciepłe),"[""warm"",""ciepła"",""ciepla"",""ciepłe"",""cieple""]",359
spójrzmy,let's take a look,misc,,"[""let's take a look""]",360
rak,cancer,misc,,"[""cancer""]",361
pozwolimy,let,misc,"(also: let, wpuścić)","[""let"",""pozwolimy"",""wpuścić"",""wpuscic""]",362
zaginęła,lost,misc,"(also: zgubił, straciłaś, zgubiłam, zgubiłeś, zaginionych, zagubiony, przegrałeś)","[""lost"",""zaginęła"",""zaginela"",""zgubił"",""zgubil"",""straciłaś"",""stracilas"",""zgubiłam"",""zgubilam"",""zgubiłeś"",""zgubiles"",""zaginionych"",""zagubiony"",""przegrałeś"",""przegrales""]",363
połowy,fishing,adjective,,"[""fishing""]",364
wysoka,high,misc,"(also: wysokiej, high)","[""high"",""wysoka"",""wysokiej""]",366
synku,son,misc,,"[""son""]",367
oceanu,ocean,misc,,"[""ocean""]",368
europy,EUROPE,misc,,"[""europe""]",369
połączenia,connections,noun,,"[""connections""]",370
spędził,spent,misc,(also: spędziłam),"[""spent"",""spędził"",""spedzil"",""spędziłam"",""spedzilam""]",371
odpowiedział,replied,misc,,"[""replied""]",372
określić,specify,verb,,"[""specify""]",373
reguły,rules,misc,,"[""rules""]",375
bzdur,nonsense,misc,(also: nonsens),"[""nonsense"",""bzdur"",""nonsens""]",376
zarzutów,allegations,misc,,"[""allegations""]",377
zapalenie,inflammation,noun,,"[""inflammation""]",378
skurwysynu,motherfucker,misc,(also: skurwielu),"[""motherfucker"",""skurwysynu"",""skurwielu""]",379
metra,subways,misc,,"[""subways""]",380
urodziłem,born,misc,,"[""born""]",381
chaos,chaos,misc,,"[""chaos""]",382
craig,craig,misc,,"[""craig""]",383
