polish,english,category,example_pl,example_en,accepted_answers,frequency_rank
palce,fingers,misc,Słowo: palce.,The word: fingers.,"[""fingers""]",40
duchy,ghosts,misc,Słowo: duchy.,The word: ghosts.,"[""ghosts""]",41
oddam,I'll donate,misc,Słowo: oddam.,Word: donate.,"[""i'll donate""]",42
kręci,spins,misc,Słowo: kręci.,The word: spins.,"[""spins""]",43
palec,finger,misc,Słowo: palec.,Word: finger.,"[""finger""]",44
dosłownie,literally,adverb,Mówię dosłownie po polsku.,I literally speak Polish.,"[""literally""]",45
dostaniemy,get,misc,Słowo: dostaniemy.,Word: we get it.,"[""get""]",46
poważny,serious,adjective,To jest bardzo poważny.,This is very serious.,"[""serious""]",47
randka,dating,noun,To jest randka.,It's a date.,"[""dating""]",48
siła,force,misc,Słowo: siła.,The word: strength.,"[""force""]",49
przeczytać,read,verb,Muszę przeczytać dzisiaj.,I need to read today.,"[""read""]",50
celi,cell,misc,Słowo: celi.,Word: cell.,"[""cell""]",51
służyć,serve,verb,Muszę służyć dzisiaj.,I have to serve today.,"[""serve""]",52
dupie,ass,misc,Słowo: dupie.,Word: ass.,"[""ass""]",53
swe,its,adjective,To jest bardzo swe.,This is very swe.,"[""its""]",54
suko,bitch,noun,Widzę suko tutaj.,I can see the bitch here.,"[""bitch""]",55
nazywał,he called,misc,Słowo: nazywał.,Word: called.,"[""he called""]",56
terry,terry,misc,Słowo: terry.,Word: terry.,"[""terry""]",57
podstawie,based on,adverb,Mówię podstawie po polsku.,I speak the basis in Polish.,"[""based on""]",58
samotny,lone,adjective,To jest bardzo samotny.,It is very lonely.,"[""lone""]",59
roger,roger,misc,Słowo: roger.,Word: roger.,"[""roger""]",60
tatę,dad,misc,Słowo: tatę.,Word: dad.,"[""dad""]",61
zakładam,I'm setting up,misc,Słowo: zakładam.,Word: assume.,"[""i'm setting up""]",62
poprosił,asked,misc,Słowo: poprosił.,The word: asked.,"[""asked""]",63
reszty,the rest,misc,Słowo: reszty.,Word: rest.,"[""the rest"",""rest""]",64
zginie,dies,adverb,Mówię zginie po polsku.,I say die in Polish.,"[""dies""]",65
walkę,fight,misc,Słowo: walkę.,The word: struggle.,"[""fight""]",66
posłuchajcie,listen to,noun,To jest posłuchajcie.,Here's a listen.,"[""listen to""]",67
poznałam,met,misc,Słowo: poznałam.,Word: met.,"[""met""]",68
doświadczenie,experience,noun,Widzę doświadczenie tutaj.,I see the experience here.,"[""experience""]",69
profesor,Professor,misc,Słowo: profesor.,Word: professor.,"[""professor""]",70
księżyc,moon,misc,Słowo: księżyc.,The word: moon.,"[""moon""]",71
grał,played,misc,Słowo: grał.,The word: played.,"[""played""]",72
morgan,morgan,misc,Słowo: morgan.,Word: morgan.,"[""morgan""]",73
wejście,input,noun,To jest wejście.,This is the input.,"[""input""]",74
talent,talent,misc,Słowo: talent.,The word: talent.,"[""talent""]",75
umiejętności,skills,misc,Słowo: umiejętności.,The word: skills.,"[""skills""]",76
pozostać,remain,verb,Lubię pozostać.,I like to stay.,"[""remain""]",77
zgadnij,guess,misc,Słowo: zgadnij.,Word: guess.,"[""guess""]",78
skontaktować,contact,verb,Muszę skontaktować dzisiaj.,I need to contact today.,"[""contact""]",79
opieki,care,misc,Słowo: opieki.,Word: care.,"[""care""]",80
bezpieczeństwo,security,noun,To jest bezpieczeństwo.,This is security.,"[""security""]",81
małych,small,misc,Słowo: małych.,Word: small.,"[""small""]",82
poniedziałek,Monday,noun,To jest poniedziałek.,This is Monday.,"[""monday""]",83
jaj,eggs,misc,Słowo: jaj.,Word: eggs.,"[""eggs""]",84
uwolnić,unleash,verb,Lubię uwolnić.,I like to release.,"[""unleash""]",85
umrzesz,you will die,misc,Słowo: umrzesz.,Word: you will die.,"[""you will die""]",86
głośno,loudly,misc,Słowo: głośno.,Word: loud.,"[""loudly""]",87
lepsza,better,misc,Słowo: lepsza.,Word: better.,"[""better""]",88
piękną,beautiful,misc,Słowo: piękną.,The word: beautiful.,"[""beautiful""]",89
obcy,foreign,misc,Słowo: obcy.,The word: stranger.,"[""foreign""]",90
czuł,felt,misc,Słowo: czuł.,The word: felt.,"[""felt""]",91
zdajesz,pass,misc,Słowo: zdajesz.,Word: pass.,"[""pass""]",92
wpływ,impact,misc,Słowo: wpływ.,Word: influence.,"[""impact""]",93
władzę,authority,misc,Słowo: władzę.,Word: power.,"[""authority""]",94
agencie,agent,noun,Widzę agencie tutaj.,I see the agent here.,"[""agent""]",95
artykuł,article,misc,Słowo: artykuł.,Word: article.,"[""article""]",96
generał,general,misc,Słowo: generał.,Word: general.,"[""general""]",97
żadnym,any,misc,Słowo: żadnym.,Word: none.,"[""any""]",98
takimi,such,misc,Słowo: takimi.,Word: such.,"[""such""]",99
żyjemy,we live,misc,Słowo: żyjemy.,Word: we are alive.,"[""we live""]",100
obiecaj,promise,misc,Słowo: obiecaj.,The word: promise.,"[""promise""]",101
dają,give,misc,Słowo: dają.,Word: they give.,"[""give""]",102
czytałem,read,misc,Słowo: czytałem.,Word: read.,"[""read""]",103
ranka,morning,noun,To jest ranka.,This is the morning.,"[""morning""]",104
wysokości,heights,misc,Słowo: wysokości.,Word: heights.,"[""heights""]",105
dziadku,grandfather,misc,Słowo: dziadku.,Word: grandfather.,"[""grandfather""]",106
smutne,sad,adjective,To jest bardzo smutne.,This is very sad.,"[""sad""]",107
kontrolą,control,misc,Słowo: kontrolą.,Word: control.,"[""control""]",108
johna,john,adjective,To jest bardzo johna.,This is very john.,"[""john""]",109
snu,sleep,misc,Słowo: snu.,Word: sleep.,"[""sleep""]",110
bomby,bombs,misc,Słowo: bomby.,The word: bombs.,"[""bombs""]",111
przesłuchanie,interview,noun,Widzę przesłuchanie tutaj.,I see a hearing here.,"[""interview""]",112
weźmiemy,take,misc,Słowo: weźmiemy.,Word: we will take.,"[""take""]",113
william,william,misc,Słowo: william.,Word: william.,"[""william""]",114
strata,loss,misc,Słowo: strata.,Word: loss.,"[""loss""]",115
pogrzeb,funeral,misc,Słowo: pogrzeb.,Word: funeral.,"[""funeral""]",116
ochronę,protection,misc,Słowo: ochronę.,Word: protection.,"[""protection""]",117
sally,sally,misc,Słowo: sally.,Word: sally.,"[""sally""]",118
zabieram,I take,misc,Słowo: zabieram.,Word: take away.,"[""i take""]",119
czysta,clear,misc,Słowo: czysta.,Word: clean.,"[""clear""]",120
przestrzeni,spaces,misc,Słowo: przestrzeni.,Word: space.,"[""spaces""]",121
scenariusz,scenario,misc,Słowo: scenariusz.,Word: script.,"[""scenario""]",122
wiarę,faith,misc,Słowo: wiarę.,The word: faith.,"[""faith""]",123
stopni,degrees,misc,Słowo: stopni.,Word: degrees.,"[""degrees""]",124
gorsze,inferior,misc,Słowo: gorsze.,Word: worse.,"[""inferior""]",125
dobrzy,good,misc,Słowo: dobrzy.,The word: good.,"[""good""]",126
love,love,misc,Słowo: love.,Word: love.,"[""love""]",127
rozwiązać,solve,verb,Muszę rozwiązać dzisiaj.,I have to solve today.,"[""solve""]",128
okazja,opportunity,misc,Słowo: okazja.,The word: opportunity.,"[""opportunity""]",129
złych,bad,misc,Słowo: złych.,Word: bad.,"[""bad""]",130
lois,lois,misc,Słowo: lois.,Word: lois.,"[""lois""]",131
stanowisko,post,noun,To jest stanowisko.,This is the position.,"[""post""]",132
skupić,focus,verb,Lubię skupić.,I like to focus.,"[""focus""]",133
zajmiemy,we'll take,misc,Słowo: zajmiemy.,The word: occupy.,"[""we'll take""]",134
pokład,deck,misc,Słowo: pokład.,Word: deck.,"[""deck""]",135
pojawi,appears,misc,Słowo: pojawi.,Word: appears.,"[""appears""]",136
babciu,grandma,misc,Słowo: babciu.,Word: grandmother.,"[""grandma""]",137
zwierząt,animals,misc,Słowo: zwierząt.,Word: animals.,"[""animals""]",138
wyraźnie,clearly,adverb,Mówię wyraźnie po polsku.,I speak clear Polish.,"[""clearly""]",139
ciasto,cake,misc,Słowo: ciasto.,The word: cake.,"[""cake""]",140
picia,drinks,misc,Słowo: picia.,The word: drinking.,"[""drinks""]",141
nauczył,taught,misc,Słowo: nauczył.,Word: taught.,"[""taught""]",142
kochamy,we love,misc,Słowo: kochamy.,Word: we love.,"[""we love""]",143
złożyć,lodge,verb,Lubię złożyć.,I like to submit.,"[""lodge""]",144
służby,services,misc,Słowo: służby.,Word: services.,"[""services""]",145
doświadczenia,experiences,noun,Widzę doświadczenia tutaj.,I see the experience here.,"[""experiences""]",146
emu,emu,misc,Słowo: emu.,Word: emu.,"[""emu""]",147
helen,helen,misc,Słowo: helen.,Word: helen.,"[""helen""]",148
mowa,speech,adjective,To jest bardzo mowa.,It is very much a speech.,"[""speech""]",149
świadkiem,witness,misc,Słowo: świadkiem.,Word: witness.,"[""witness""]",150
ochrona,protection,adjective,To jest bardzo ochrona.,This is very much a protection.,"[""protection""]",151
porozmawiam,I'll talk,misc,Słowo: porozmawiam.,Word: I will talk.,"[""i'll talk""]",152
wracasz,you're back,misc,Słowo: wracasz.,Word: you're back.,"[""you're back""]",153
kawa,coffee,adjective,To jest bardzo kawa.,It's very coffee.,"[""coffee""]",154
tamten,that one,misc,Słowo: tamten.,Word: that one.,"[""that one""]",155
oczami,through the eyes of,misc,Słowo: oczami.,The word: eyes.,"[""through the eyes of""]",156
rozmawiam,talk,misc,Słowo: rozmawiam.,Word: talk.,"[""talk""]",157
deszcz,rain,misc,Słowo: deszcz.,The word: rain.,"[""rain""]",158
szczęśliwi,happy,misc,Słowo: szczęśliwi.,The word: happy.,"[""happy""]",159
kochają,love,misc,Słowo: kochają.,The word: love.,"[""love""]",160
zachód,west,misc,Słowo: zachód.,Word: west.,"[""west""]",161
przeczucie,hunch,noun,To jest przeczucie.,This is a hunch.,"[""hunch""]",162
chłopie,peasant,misc,Słowo: chłopie.,Word: peasant.,"[""peasant""]",163
samochody,cars,misc,Słowo: samochody.,The word: cars.,"[""cars""]",164
jones,jones,misc,Słowo: jones.,Word: jones.,"[""jones""]",165
nazywać,name,verb,Lubię nazywać.,I like to call.,"[""name""]",166
planecie,planet,noun,To jest planecie.,This is the planet.,"[""planet""]",167
wesołych,merry,misc,Słowo: wesołych.,Word: merry.,"[""merry""]",168
oficer,officer,misc,Słowo: oficer.,Word: officer.,"[""officer""]",169
głodna,hungry,adjective,To jest bardzo głodna.,It is very hungry.,"[""hungry""]",170
słaby,weak,misc,Słowo: słaby.,Word: weak.,"[""weak""]",171
zacznijmy,start,misc,Słowo: zacznijmy.,Word: let's get started.,"[""start""]",172
zostałam,became,misc,Słowo: zostałam.,The word: I stayed.,"[""became""]",173
grozi,threatens,misc,Słowo: grozi.,The word: threatens.,"[""threatens""]",174
zabójstwo,murder,noun,To jest zabójstwo.,This is a killer.,"[""murder""]",175
wiek,age,noun,To jest wiek.,This is the age.,"[""age""]",176
tamtym,that,misc,Słowo: tamtym.,Word: that one.,"[""that""]",177
dzieła,works,misc,Słowo: dzieła.,Word: works.,"[""works""]",178
sobotę,Saturday,misc,Słowo: sobotę.,Word: Saturday.,"[""saturday""]",179
szalona,crazy,adjective,To jest bardzo szalona.,This is very crazy.,"[""crazy""]",180
obecność,presence,noun,To jest obecność.,It is a presence.,"[""presence""]",181
fair,fair,misc,Słowo: fair.,Word: fair.,"[""fair""]",182
ślad,footprint,misc,Słowo: ślad.,Word: trace.,"[""footprint""]",183
zabity,killed,misc,Słowo: zabity.,Word: killed.,"[""killed""]",184
szukał,sought,misc,Słowo: szukał.,The word: sought.,"[""sought""]",185
szacunkiem,respect,misc,Słowo: szacunkiem.,The word: respect.,"[""respect""]",186
przyjechać,come,verb,Muszę przyjechać dzisiaj.,I have to come today.,"[""come""]",187
smakuje,tastes,misc,Słowo: smakuje.,Word: tastes.,"[""tastes""]",188
siedzisz,you're sitting,misc,Słowo: siedzisz.,Word: you're sitting down.,"[""you're sitting""]",189
uważnie,carefully,adverb,Mówię uważnie po polsku.,I speak careful Polish.,"[""carefully""]",190
red,red,misc,Słowo: red.,Word: ed.,"[""red""]",191
uspokoić,reassure,verb,Lubię uspokoić.,I like to calm down.,"[""reassure""]",192
papiery,papers,misc,Słowo: papiery.,Word: papers.,"[""papers""]",193
wskazuje,indicates,misc,Słowo: wskazuje.,Word: indicates.,"[""indicates""]",194
dwoma,two,misc,Słowo: dwoma.,Word: two.,"[""two""]",195
spotkaniu,meeting,misc,Słowo: spotkaniu.,Word: meeting.,"[""meeting""]",196
znany,well known,adjective,To jest bardzo znany.,This is very well known.,"[""well known""]",197
źródło,source,misc,Słowo: źródło.,Word: source.,"[""source""]",198
podpisać,sign,verb,Muszę podpisać dzisiaj.,I have to sign today.,"[""sign""]",199
zostaliśmy,we have been,misc,Słowo: zostaliśmy.,The word: we stayed.,"[""we have been""]",200
zniknęła,disappeared,misc,Słowo: zniknęła.,The word: disappeared.,"[""disappeared""]",201
świadka,witness,noun,To jest świadka.,This is a witness.,"[""witness""]",202
zaczynają,begin,misc,Słowo: zaczynają.,Word: they are starting.,"[""begin""]",203
sztuka,art,noun,Widzę sztuka tutaj.,I see the art here.,"[""art""]",204
yo,yo,misc,Słowo: yo.,Word: yo.,"[""yo""]",205
winna,blame,adjective,To jest bardzo winna.,It's very much a guilty pleasure.,"[""blame""]",206
terenie,site,noun,Widzę terenie tutaj.,I can see the terrain here.,"[""site""]",207
wodzie,water,misc,Słowo: wodzie.,Word: water.,"[""water""]",208
pomagać,assist,verb,Lubię pomagać.,I like to help.,"[""assist""]",209
wytłumaczyć,explain,verb,Lubię wytłumaczyć.,I like to explain.,"[""explain""]",210
wyłączyć,switch off,verb,Lubię wyłączyć.,I like to turn it off.,"[""switch off""]",211
mamusiu,mommy,misc,Słowo: mamusiu.,Word: mommy.,"[""mommy""]",212
sprzedaż,sale,misc,Słowo: sprzedaż.,The word: sale.,"[""sale""]",213
dwadzieścia,twenty,misc,Słowo: dwadzieścia.,Word: twenty.,"[""twenty""]",214
chcieć,like,verb,Muszę chcieć dzisiaj.,I have to want today.,"[""like""]",215
josh,josh,misc,Słowo: josh.,Word: josh.,"[""josh""]",216
ucieka,escapes,noun,To jest ucieka.,It is a runaway success.,"[""escapes""]",217
aresztować,arrest,verb,Muszę aresztować dzisiaj.,I have to arrest today.,"[""arrest""]",218
nathan,nathan,misc,Słowo: nathan.,Word: nathan.,"[""nathan""]",219
cierpię,I suffer,misc,Słowo: cierpię.,The word: suffer.,"[""i suffer""]",220
sześciu,six,misc,Słowo: sześciu.,Word: six.,"[""six""]",221
cudem,miracle,misc,Słowo: cudem.,The word: miracle.,"[""miracle""]",222
pomyślał,thought,misc,Słowo: pomyślał.,Word: he thought.,"[""thought""]",223
pracowników,employees,misc,Słowo: pracowników.,Word: employees.,"[""employees""]",224
dawać,yield,verb,Muszę dawać dzisiaj.,I have to give today.,"[""yield""]",225
dziennie,daily,adverb,Mówię dziennie po polsku.,I speak Polish daily.,"[""daily""]",226
telefony,phones,adjective,To jest bardzo telefony.,It's very much a phone call.,"[""phones""]",227
podłodze,floor,misc,Słowo: podłodze.,Word: floor.,"[""floor""]",228
drzewo,tree,misc,Słowo: drzewo.,Word: tree.,"[""tree""]",229
kłamać,lie,verb,Lubię kłamać.,I like to lie.,"[""lie""]",230
skorzystać,benefit,verb,Lubię skorzystać.,I like to take advantage.,"[""benefit""]",231
piosenki,songs,misc,Słowo: piosenki.,Word: songs.,"[""songs""]",232
byle,by,misc,Słowo: byle.,Word: byle.,"[""by""]",233
lekarze,doctors,adverb,Mówię lekarze po polsku.,I say doctors in Polish.,"[""doctors""]",234
zaczniesz,start,misc,Słowo: zaczniesz.,Word: you will start.,"[""start""]",235
jeff,jeff,misc,Słowo: jeff.,Word: jeff.,"[""jeff""]",236
idealny,ideal,adjective,To jest bardzo idealny.,This is very ideal.,"[""ideal""]",237
pewni,certain,misc,Słowo: pewni.,Word: sure.,"[""certain""]",238
spacer,walk,misc,Słowo: spacer.,Word: walk.,"[""walk""]",239
niektórych,some,misc,Słowo: niektórych.,Word: some.,"[""some""]",240
be,be,misc,Słowo: be.,Word: be.,"[""be""]",241
zrozumiano,understood,misc,Słowo: zrozumiano.,Word: understood.,"[""understood""]",242
bądźcie,be,noun,To jest bądźcie.,It is be.,"[""be""]",243
skóry,skins,misc,Słowo: skóry.,Word: skins.,"[""skins""]",244
następna,next,adjective,To jest bardzo następna.,This is very next.,"[""next""]",245
pacjenta,patient,misc,Słowo: pacjenta.,Word: patient.,"[""patient""]",246
powrotu,return,misc,Słowo: powrotu.,Word: return.,"[""return""]",247
niebezpieczeństwie,danger,adverb,Mówię niebezpieczeństwie po polsku.,I speak danger in Polish.,"[""danger""]",248
wymiar,dimension,misc,Słowo: wymiar.,Word: dimension.,"[""dimension""]",249
forsy,forsy,misc,Słowo: forsy.,Word: forsy.,"[""forsy""]",250
muzeum,museum,misc,Słowo: muzeum.,Word: museum.,"[""museum""]",251
ciemno,dark,misc,Słowo: ciemno.,The word: dark.,"[""dark""]",252
gdyż,since,misc,Słowo: gdyż.,Word: because.,"[""since""]",253
odpowiedzialność,responsibility,noun,Widzę odpowiedzialność tutaj.,I see accountability here.,"[""responsibility""]",254
osobiste,personal,misc,Słowo: osobiste.,Word: personal.,"[""personal""]",255
kolacja,dinner,misc,Słowo: kolacja.,The word: dinner.,"[""dinner""]",256
rock,rock,misc,Słowo: rock.,The word: rock.,"[""rock""]",257
płacić,pay,verb,Lubię płacić.,I like to pay.,"[""pay""]",258
bałagan,mess,misc,Słowo: bałagan.,The word: mess.,"[""mess""]",259
julia,julia,misc,Słowo: julia.,Word: julia.,"[""julia""]",260
oka,eye,noun,Widzę oka tutaj.,I can see the eye here.,"[""eye""]",261
sposobem,way,misc,Słowo: sposobem.,Word: way.,"[""way""]",262
rządu,government,misc,Słowo: rządu.,Word: government.,"[""government""]",263
wstać,get up,verb,Muszę wstać dzisiaj.,I have to get up today.,"[""get up""]",264
oddychaj,breathe,misc,Słowo: oddychaj.,The word: breathe.,"[""breathe""]",265
przeszkadzam,I disturb,misc,Słowo: przeszkadzam.,Word: disruptive.,"[""i disturb""]",266
koszmar,nightmare,misc,Słowo: koszmar.,The word: nightmare.,"[""nightmare""]",267
nazwać,name,verb,Muszę nazwać dzisiaj.,I have to name today.,"[""name""]",268
dusza,soul,misc,Słowo: dusza.,The word: soul.,"[""soul""]",269
przyjechałem,arrived,misc,Słowo: przyjechałem.,Word: arrived.,"[""arrived""]",270
weźmiesz,take,misc,Słowo: weźmiesz.,Word: take.,"[""take""]",271
osiągnąć,reach,verb,Muszę osiągnąć dzisiaj.,I need to achieve today.,"[""reach""]",272
kościół,church,misc,Słowo: kościół.,Word: church.,"[""church""]",273
jakichś,some,misc,Słowo: jakichś.,Word: some.,"[""some""]",274
butelkę,bottle of,misc,Słowo: butelkę.,The word: bottle.,"[""bottle of""]",275
dziecku,child,misc,Słowo: dziecku.,Word: child.,"[""child""]",276
pytać,ask,verb,Lubię pytać.,I like to ask.,"[""ask""]",277
pracują,work,misc,Słowo: pracują.,Word: they work.,"[""work""]",278
sekundę,second,misc,Słowo: sekundę.,Word: a second.,"[""second""]",279
wyobraź,imagine,misc,Słowo: wyobraź.,The word: imagine.,"[""imagine""]",280
zresztą,anyway,misc,Słowo: zresztą.,Word: anyway.,"[""anyway""]",281
niebezpieczny,dangerous,adjective,To jest bardzo niebezpieczny.,This is very dangerous.,"[""dangerous""]",282
podejrzany,suspect,adjective,To jest bardzo podejrzany.,This is very suspicious.,"[""suspect""]",283
nosa,nose,misc,Słowo: nosa.,Word: nose.,"[""nose""]",284
gwiazda,star,misc,Słowo: gwiazda.,Word: star.,"[""star""]",285
straszny,scary,adjective,To jest bardzo straszny.,This is very scary.,"[""scary""]",286
cole,cole,misc,Słowo: cole.,Word: cole.,"[""cole""]",287
powiemy,say,misc,Słowo: powiemy.,Word: we will say.,"[""say""]",288
pozycję,position,misc,Słowo: pozycję.,Word: position.,"[""position""]",289
poznaliśmy,we met,misc,Słowo: poznaliśmy.,Word: we met.,"[""we met""]",290
gadaj,talk,misc,Słowo: gadaj.,Word: talk.,"[""talk""]",291
prawnikiem,lawyer,misc,Słowo: prawnikiem.,Word: lawyer.,"[""lawyer""]",292
beze,withoute,misc,Słowo: beze.,Word: beze.,"[""withoute""]",293
specjalny,special,adjective,To jest bardzo specjalny.,This is a very special one.,"[""special""]",294
miesiąca,month,misc,Słowo: miesiąca.,Word of the month.,"[""month""]",295
whoa,whoa,misc,Słowo: whoa.,Word: whoa.,"[""whoa""]",296
myśleliśmy,we thought,misc,Słowo: myśleliśmy.,Word: we thought.,"[""we thought""]",297
gwiazdą,star,misc,Słowo: gwiazdą.,Word: star.,"[""star""]",298
materiał,material,misc,Słowo: materiał.,Word: material.,"[""material""]",299
for,for,misc,Słowo: for.,Word: for.,"[""for""]",300
minął,past,misc,Słowo: minął.,Word: passed.,"[""past""]",301
wzięła,took,misc,Słowo: wzięła.,The word: took.,"[""took""]",302
pozostaje,remains,misc,Słowo: pozostaje.,The word: remains.,"[""remains""]",303
szybki,quick,misc,Słowo: szybki.,Word: fast.,"[""quick""]",304
myślałaś,thought,misc,Słowo: myślałaś.,Word: you thought.,"[""thought""]",305
dowiedziałem,learned,misc,Słowo: dowiedziałem.,Word: proved.,"[""learned""]",306
zaczęli,started,misc,Słowo: zaczęli.,Word: they started.,"[""started""]",307
zwycięstwo,victory,noun,Widzę zwycięstwo tutaj.,I see victory here.,"[""victory""]",308
czarne,black,adjective,To jest bardzo czarne.,This is very black.,"[""black""]",309
patrząc,looking,misc,Słowo: patrząc.,Word: looking.,"[""looking""]",310
roy,roy,misc,Słowo: roy.,Word: roy.,"[""roy""]",311
pułkownik,Colonel,misc,Słowo: pułkownik.,Word: colonel.,"[""colonel""]",312
zabierze,will take,adverb,Mówię zabierze po polsku.,I speak takes in Polish.,"[""will take""]",313
randy,randy,misc,Słowo: randy.,Word: randy.,"[""randy""]",314
dostaliśmy,we got,misc,Słowo: dostaliśmy.,Word: we got it.,"[""we got""]",315
skończyłam,finished,misc,Słowo: skończyłam.,Word: finished.,"[""finished""]",316
kolejnego,next,misc,Słowo: kolejnego.,Word: another.,"[""next""]",317
kot,cat,misc,Słowo: kot.,Word: cat.,"[""cat""]",318
poszli,went,misc,Słowo: poszli.,The word: they went.,"[""went""]",319
załatwione,arranged,adjective,To jest bardzo załatwione.,This is very much a done deal.,"[""arranged""]",320
powiedziałbym,would say,misc,Słowo: powiedziałbym.,Word: would say.,"[""would say""]",321
armia,army,misc,Słowo: armia.,The word: army.,"[""army""]",322
rick,rick,misc,Słowo: rick.,Word: rick.,"[""rick""]",323
przyjęcia,receptions,misc,Słowo: przyjęcia.,Word: parties.,"[""receptions""]",324
pomysły,ideas,misc,Słowo: pomysły.,Word: ideas.,"[""ideas""]",325
udaje,pretends,misc,Słowo: udaje.,Word: pretends.,"[""pretends""]",326
zmianę,change,misc,Słowo: zmianę.,The word: change.,"[""change""]",327
pańskiej,your,misc,Słowo: pańskiej.,Word: the Lord's.,"[""your""]",328
samemu,by yourself,misc,Słowo: samemu.,Word: alone.,"[""by yourself""]",329
ludziach,people,misc,Słowo: ludziach.,Word: people.,"[""people""]",330
kula,bullet,misc,Słowo: kula.,Word: bullet.,"[""bullet""]",331
wezwać,call,verb,Lubię wezwać.,I like to call on.,"[""call""]",332
silnik,engine,misc,Słowo: silnik.,Word: engine.,"[""engine""]",333
skończysz,finish,misc,Słowo: skończysz.,Word: you're done.,"[""finish""]",334
pacjent,patient,misc,Słowo: pacjent.,The word: patient.,"[""patient""]",335
zapraszam,welcome,misc,Słowo: zapraszam.,Word: invite.,"[""welcome""]",336
ratować,save,verb,Lubię ratować.,I like to rescue.,"[""save""]",337
elizabeth,elizabeth,misc,Słowo: elizabeth.,Word: elizabeth.,"[""elizabeth""]",338
przyjedzie,comes,misc,Słowo: przyjedzie.,The word: will come.,"[""comes""]",339
płakać,cry,verb,Lubię płakać.,I like to cry.,"[""cry""]",340
kochany,dear,adjective,To jest bardzo kochany.,It is much loved.,"[""dear""]",341
ruszyć,set off,verb,Lubię ruszyć.,I like to move.,"[""set off""]",342
pojęcie,concept,noun,To jest pojęcie.,The concept.,"[""concept""]",343
sekundy,seconds,misc,Słowo: sekundy.,The word: seconds.,"[""seconds""]",344
białe,white,misc,Słowo: białe.,Word: white.,"[""white""]",345
zachowywać,keep,verb,Lubię zachowywać.,I like to preserve.,"[""keep""]",346
momentu,moment,misc,Słowo: momentu.,The word: moment.,"[""moment""]",347
rodzicami,parents,misc,Słowo: rodzicami.,Word: parents.,"[""parents""]",348
