polish,english,category,subtext,accepted_answers,frequency_rank
mieć,to have,verb,,"[""to have"",""have""]",200
dziś,today,misc,(also: dzisiaj),"[""today"",""dziś"",""dzis"",""dzisiaj""]",202
dwa,two,adjective,"(also: dwie, dwóch)","[""two"",""dwa"",""dwie"",""dwóch"",""dwoch""]",203
jako,as,misc,,"[""as""]",204
stąd,hence,misc,,"[""hence""]",205
wie,knows,adverb,,"[""knows""]",206
dzieje,history,misc,,"[""history""]",208
będziemy,we will,misc,,"[""we will""]",210
dużo,much,misc,(also: wiele),"[""much"",""dużo"",""duzo"",""wiele""]",213
rozumiem,I understand,misc,,"[""i understand""]",215
iść,go,misc,(also: idź),"[""go"",""iść"",""isc"",""idź"",""idz""]",216
miejsce,location,misc,,"[""location""]",217
kilka,several,misc,,"[""several""]",218
pomóc,help,misc,"(also: pomocy, pomoc)","[""help"",""pomóc"",""pomoc"",""pomocy""]",219
myśli,thoughts,misc,,"[""thoughts""]",220
byłem,I was,misc,(also: byłam),"[""i was"",""byłem"",""bylem"",""byłam"",""bylam""]",222
ile,how much,misc,,"[""how much""]",223
jasne,bright,adjective,,"[""bright""]",225
cały,whole,misc,"(also: całą, całe, cała)","[""whole"",""cały"",""caly"",""całą"",""cala"",""całe"",""cale"",""cała""]",226
skąd,from where,misc,,"[""from where""]",227
dzieci,children,misc,,"[""children""]",228
można,can,adjective,,"[""can""]",231
jakieś,some,misc,(also: jakiś),"[""some"",""jakieś"",""jakies"",""jakiś"",""jakis""]",232
sposób,way,misc,(also: drodze),"[""way"",""sposób"",""sposob"",""drodze""]",236
nad,above,preposition,,"[""above"",""over"",""by"",""at""]",238
mają,have,misc,,"[""have""]",240
mówisz,you say,misc,,"[""you say""]",242
robić,do,verb,"(also: zrób, rób)","[""do"",""robić"",""robic"",""zrób"",""zrob"",""rób"",""rob""]",244
zbyt,too,misc,,"[""too""]",246
szybko,fast,misc,,"[""fast""]",250
pracy,work,misc,(also: pracę),"[""work"",""pracy"",""pracę"",""prace""]",252
tyle,so much,misc,,"[""so much""]",253
zaraz,coming soon,misc,,"[""coming soon""]",255
kocham,love,misc,"(also: kochanie, miłość)","[""love"",""kocham"",""kochanie"",""miłość"",""milosc""]",256
miałem,I had,misc,(also: miałam),"[""i had"",""miałem"",""mialem"",""miałam"",""mialam""]",259
zobaczyć,view,verb,,"[""view""]",260
świetnie,great,adverb,"(also: wielki, wspaniale)","[""great"",""świetnie"",""swietnie"",""wielki"",""wspaniale""]",261
mówię,I say,misc,,"[""i say""]",263
ponieważ,since,misc,(also: skoro),"[""since"",""ponieważ"",""poniewaz"",""skoro""]",265
oh,oh,misc,(also: och),"[""oh"",""och""]",266
ojciec,father,misc,(also: ojca),"[""father"",""ojciec"",""ojca""]",267
myślałem,thought,misc,(also: myślałam),"[""thought"",""myślałem"",""myslalem"",""myślałam"",""myslalam""]",268
pewno,certainly,misc,,"[""certainly""]",269
cholera,cholera,misc,(also: cholery),"[""cholera"",""cholery""]",270
rację,right,misc,,"[""right""]",271
robi,does,misc,,"[""does""]",272
ani,neither,misc,,"[""neither""]",273
stary,old,misc,,"[""old""]",274
trzy,three,misc,,"[""three""]",275
później,later,misc,,"[""later""]",276
życia,lives,misc,(also: żyje),"[""lives"",""życia"",""zycia"",""żyje"",""zyje""]",278
stanie,state,noun,,"[""state""]",279
przestań,stop,misc,,"[""stop""]",282
mamo,mom,misc,(also: mama),"[""mom"",""mamo"",""mama""]",283
kiedyś,sometime,misc,,"[""sometime""]",284
jutro,tomorrow,misc,,"[""tomorrow""]",286
długo,long,misc,,"[""long""]",287
nadzieję,hope,misc,,"[""hope""]",288
kurwa,fuck,adjective,,"[""fuck""]",289
chciałem,wanted,misc,"(also: chciał, chciała)","[""wanted"",""chciałem"",""chcialem"",""chciał"",""chcial"",""chciała"",""chciala""]",290
widzisz,you see,misc,,"[""you see""]",291
widzę,I see,misc,,"[""i see""]",293
aż,until,misc,,"[""until""]",294
tato,dad,misc,(also: tata),"[""dad"",""tato"",""tata""]",295
problem,problem,misc,,"[""problem""]",296
każdy,any,misc,,"[""any""]",298
mógł,could,misc,(also: mogła),"[""could"",""mógł"",""mogl"",""mogła"",""mogla""]",299
dni,days,misc,,"[""days""]",300
nocy,nights,misc,,"[""nights""]",303
znowu,again,misc,(also: znów),"[""again"",""znowu"",""znów"",""znow""]",304
potrzebuję,I need,misc,,"[""i need""]",306
dziecko,child,misc,,"[""child""]",307
słuchaj,listen to,misc,(also: posłuchaj),"[""listen to"",""słuchaj"",""sluchaj"",""posłuchaj"",""posluchaj""]",309
znaleźć,find,misc,,"[""find""]",310
pierwszy,first,misc,(also: najpierw),"[""first"",""pierwszy"",""najpierw""]",311
pieniądze,money,misc,(also: pieniędzy),"[""money"",""pieniądze"",""pieniadze"",""pieniędzy"",""pieniedzy""]",312
dokładnie,thoroughly,adverb,,"[""thoroughly""]",314
czuję,I feel,misc,,"[""i feel""]",317
zrobił,made,misc,,"[""made""]",318
nasz,our,misc,"(also: nasze, naszej, nasza, naszych, naszego, naszym, naszą)","[""our"",""nasz"",""nasze"",""naszej"",""nasza"",""naszych"",""naszego"",""naszym"",""naszą""]",319
widziałem,seen,misc,(also: widziałam),"[""seen"",""widziałem"",""widzialem"",""widziałam"",""widzialam""]",322
razie,so far,misc,,"[""so far""]",323
spokój,calm,misc,,"[""calm""]",326
samo,same,misc,,"[""same""]",329
koniec,end,misc,,"[""end""]",331
były,former,misc,,"[""former""]",332
znam,I know,misc,,"[""i know""]",333
został,has been,misc,"(also: została, zostało)","[""has been"",""został"",""zostal"",""została"",""zostala"",""zostało"",""zostalo""]",336
chciałbym,I would like,misc,,"[""i would like""]",337
spójrz,take a look,misc,,"[""take a look""]",340
wcześniej,previously,misc,,"[""previously""]",341
zostać,become,misc,,"[""become""]",342
sobą,with each other,misc,,"[""with each other""]",345
zabić,kill,verb,,"[""kill""]",346
mówić,speak,verb,,"[""speak""]",348
bym,I would,misc,,"[""i would""]",349
imię,name,misc,,"[""name""]",350
chwilę,moment,misc,(also: chwili),"[""moment"",""chwilę"",""chwile"",""chwili""]",351
roku,year,misc,,"[""year""]",352
porozmawiać,talk,misc,(also: rozmawiać),"[""talk"",""porozmawiać"",""porozmawiac"",""rozmawiać"",""rozmawiac""]",353
we,at,adjective,,"[""at""]",355
poza,beyond,misc,,"[""beyond""]",356
mogą,may,misc,,"[""may""]",357
minut,minutes,misc,,"[""minutes""]",359
drzwi,door,misc,,"[""door""]",362
miło,nice,misc,,"[""nice""]",364
prawie,almost,adverb,,"[""almost""]",366
kogo,whom,misc,,"[""whom""]",367
jakby,like,misc,(also: podoba),"[""like"",""jakby"",""podoba""]",368
wydaje,issues,misc,,"[""issues""]",372
czekaj,wait,misc,"(also: zaczekaj, poczekaj)","[""wait"",""czekaj"",""zaczekaj"",""poczekaj""]",373
człowiek,man,misc,(also: człowieka),"[""man"",""człowiek"",""czlowiek"",""człowieka"",""czlowieka""]",374
powodu,due to,misc,,"[""due to""]",375
powinniśmy,we should,misc,,"[""we should""]",376
lubię,I like,misc,,"[""i like""]",377
gdzieś,somewhere,misc,,"[""somewhere""]",378
przecież,"after all,",misc,,"[""after all,"",""after all""]",379
sprawy,matters,adjective,,"[""matters""]",380
końcu,Finally,misc,,"[""finally""]",382
byłeś,you were,misc,(also: byłaś),"[""you were"",""byłeś"",""byles"",""byłaś"",""bylas""]",385
c,c,misc,,"[""c""]",386
pomysł,idea,misc,,"[""idea""]",387
broń,arms,misc,,"[""arms""]",389
razy,times,misc,,"[""times""]",391
innego,another,misc,,"[""another""]",392
zrobię,I'll do,misc,,"[""i'll do""]",393
facet,guy,misc,,"[""guy""]",396
wiemy,we know,misc,,"[""we know""]",397
jednak,however,misc,,"[""however""]",398
noc,night,misc,,"[""night""]",399
żebym,That I,misc,,"[""that i""]",400
dość,quite,noun,(also: całkiem),"[""quite"",""dość"",""dosc"",""całkiem"",""calkiem""]",405
miejscu,site,misc,,"[""site""]",406
źle,wrong,misc,,"[""wrong""]",407
powinieneś,you should,misc,(also: powinnaś),"[""you should"",""powinieneś"",""powinienes"",""powinnaś"",""powinnas""]",408
właściwie,properly,adverb,,"[""properly""]",409
powiedziała,she said,misc,,"[""she said""]",410
idziemy,we go,misc,,"[""we go""]",413
pamiętasz,remember,misc,,"[""remember""]",414
pokoju,room,misc,(also: pokój),"[""room"",""pokoju"",""pokój"",""pokoj""]",415
pewien,certain,misc,(also: pewna),"[""certain"",""pewien"",""pewna""]",416
niczego,anything,misc,,"[""anything""]",417
sprawa,case,adjective,,"[""case""]",419
ego,ego,misc,,"[""ego""]",420
bądź,be,misc,,"[""be""]",423
sądzę,judge,misc,,"[""judge""]",427
chodźmy,let's go,misc,,"[""let's go""]",430
zamknij,close,misc,,"[""close""]",431
the,the,misc,,"[""the""]",432
byś,would you,misc,,"[""would you""]",433
rozumiesz,understand,misc,,"[""understand""]",434
samochód,car,misc,,"[""car""]",435
idę,I'm going,misc,,"[""i'm going""]",437
spokojnie,quietly,adverb,,"[""quietly""]",439
musiał,had to,misc,,"[""had to""]",440
oczy,eyes,misc,,"[""eyes""]",441
nowy,new,adjective,(also: nowego),"[""new"",""nowy"",""nowego""]",443
rzecz,thing,misc,,"[""thing""]",445
swoim,with your,misc,,"[""with your""]",446
podczas,during,misc,,"[""during""]",449
matka,mother,misc,,"[""mother""]",452
wczoraj,yesterday,misc,,"[""yesterday""]",453
rano,morning,misc,,"[""morning""]",454
świat,world,misc,"(also: świecie, świata)","[""world"",""świat"",""swiat"",""świecie"",""swiecie"",""świata"",""swiata""]",455
byli,were,misc,,"[""were""]",457
chciałam,I wanted,misc,,"[""i wanted""]",459
weź,Take,misc,(also: zabrać),"[""take"",""weź"",""wez"",""zabrać"",""zabrac""]",460
sprawę,matter,misc,,"[""matter""]",461
nimi,with them,misc,,"[""with them""]",462
powinienem,I should,misc,(also: powinnam),"[""i should"",""powinienem"",""powinnam""]",463
oto,here's,misc,,"[""here's""]",467
poważnie,seriously,adverb,(also: serio),"[""seriously"",""poważnie"",""powaznie"",""serio""]",468
dać,yield,misc,,"[""yield""]",469
telefon,phone,misc,,"[""phone""]",470
numer,number,misc,,"[""number""]",471
wiedziałem,I knew,misc,,"[""i knew""]",473
dziewczyna,girl,adjective,,"[""girl""]",474
czujesz,feel,misc,,"[""feel""]",476
da,da,misc,,"[""da""]",478
cokolwiek,whatever,misc,,"[""whatever""]",480
wina,wines,adjective,,"[""wines""]",481
dopóki,as long as,misc,,"[""as long as""]",482
powiedziałeś,you said,misc,,"[""you said""]",483
trzymaj,keep,misc,,"[""keep""]",484
śmierci,death,misc,(also: śmierć),"[""death"",""śmierci"",""smierci"",""śmierć"",""smierc""]",485
wrócić,return,verb,(also: powrotem),"[""return"",""wrócić"",""wrocic"",""powrotem""]",488
miejsca,sites,misc,,"[""sites""]",489
zrobiłem,I did,misc,,"[""i did""]",494
pamiętam,I remember,misc,,"[""i remember""]",495
halo,halo,misc,,"[""halo""]",496
przynajmniej,at least,misc,,"[""at least""]",499
pytanie,question,noun,,"[""question""]",501
wyglądasz,you look,misc,,"[""you look""]",502
między,between,misc,,"[""between""]",503
widzieć,see,verb,(also: patrz),"[""see"",""widzieć"",""widziec"",""patrz""]",504
dam,I'll give,misc,,"[""i'll give""]",506
innych,other,misc,"(also: inne, inny, innym)","[""other"",""innych"",""inne"",""inny"",""innym""]",508
kobiety,women,misc,,"[""women""]",509
inaczej,otherwise,misc,,"[""otherwise""]",510
brzmi,sounds,misc,,"[""sounds""]",511
gdybym,if I,misc,,"[""if i""]",513
robię,I make,misc,,"[""i make""]",515
prawo,law,misc,,"[""law""]",518
ręce,hands,misc,,"[""hands""]",519
potrzebuje,needs,misc,,"[""needs""]",520
zrobiłeś,you did,misc,,"[""you did""]",522
wielu,many,misc,,"[""many""]",523
tłumaczenie,translation,noun,,"[""translation""]",524
wierzę,I believe,misc,,"[""i believe""]",526
super,super,misc,,"[""super""]",528
s,s,misc,,"[""s""]",529
możliwe,possible,adjective,,"[""possible""]",530
drogi,roads,misc,,"[""roads""]",533
pójdę,I'll go,misc,,"[""i'll go""]",534
ważne,important,adjective,,"[""important""]",535
kobieta,woman,misc,,"[""woman""]",537
dziewczyny,girls,adjective,,"[""girls""]",538
każdym,each,misc,(also: każdego),"[""each"",""każdym"",""kazdym"",""każdego"",""kazdego""]",539
słyszałem,heard,misc,,"[""heard""]",540
żona,wife,adjective,,"[""wife""]",541
ogóle,at all,misc,(also: wcale),"[""at all"",""ogóle"",""ogole"",""wcale""]",545
działa,works,misc,,"[""works""]",546
wiedział,knew,misc,,"[""knew""]",548
chcemy,we want,misc,,"[""we want""]",550
poznać,explore,misc,,"[""explore""]",551
gra,game,misc,,"[""game""]",552
serce,heart,misc,,"[""heart""]",554
parę,few,misc,,"[""few""]",557
dostać,get,misc,,"[""get""]",558
powinien,should,misc,,"[""should""]",559
witam,welcome,misc,(also: witaj),"[""welcome"",""witam"",""witaj""]",560
diabła,devil,misc,,"[""devil""]",561
udało,succeeded,misc,,"[""succeeded""]",563
byłoby,would be,misc,,"[""would be""]",564
pojęcia,terms,misc,,"[""terms""]",565
godziny,hours,adjective,(also: godzin),"[""hours"",""godziny"",""godzin""]",566
cieszę,enjoy,misc,,"[""enjoy""]",567
przeciwko,against,misc,,"[""against""]",569
wiadomość,message,noun,,"[""message""]",573
ciało,body,misc,,"[""body""]",575
jack,jack,misc,,"[""jack""]",578
zostaw,leave,misc,,"[""leave""]",580
słowa,words,adjective,,"[""words""]",582
bóg,god,misc,,"[""god""]",583
pięć,five,misc,,"[""five""]",585
panowie,gentlemen,adverb,,"[""gentlemen""]",586
raczej,rather,misc,,"[""rather""]",587
czymś,something,misc,,"[""something""]",588
ziemi,land,misc,,"[""land""]",589
stać,stand,misc,,"[""stand""]",592
martw,worry,misc,,"[""worry""]",594
dziwne,strange,adjective,,"[""strange""]",596
wybacz,pardon,misc,,"[""pardon""]",597
żyć,live,verb,,"[""live""]",599
plan,plan,misc,,"[""plan""]",602
żadnego,none,misc,,"[""none""]",603
czasem,sometimes,misc,(also: czasami),"[""sometimes"",""czasem"",""czasami""]",604
miałeś,you had,misc,,"[""you had""]",606
nazywa,calls,adjective,,"[""calls""]",608
szczęście,happiness,noun,,"[""happiness""]",609
ostatnio,most recently,misc,,"[""most recently""]",612
natychmiast,immediately,misc,,"[""immediately""]",613
nieźle,not bad,misc,,"[""not bad""]",614
ostatni,last,misc,,"[""last""]",615
syn,son of,misc,(also: syna),"[""son of"",""syn"",""syna""]",616
john,john,misc,,"[""john""]",617
widziałeś,have you seen,misc,,"[""have you seen""]",618
zabił,killed,misc,,"[""killed""]",619
krwi,blood,misc,,"[""blood""]",620
rodziny,families,adjective,,"[""families""]",621
zrobimy,we'll do,misc,,"[""we'll do""]",625
panią,Ms.,misc,,"[""ms.""]",626
szkoły,schools,misc,,"[""schools""]",627
słucham,listening,misc,,"[""listening""]",628
wyjść,exit,misc,,"[""exit""]",631
idziesz,You go,misc,,"[""you go""]",632
potrzebujemy,we need,misc,,"[""we need""]",633
mąż,husband,misc,,"[""husband""]",634
zrobisz,you'll do,misc,,"[""you'll do""]",635
uwierzyć,believe,verb,,"[""believe""]",638
mieliśmy,we had,misc,,"[""we had""]",639
byliśmy,We were,misc,,"[""we were""]",640
mieli,they had,misc,,"[""they had""]",641
doktorze,Dr.,adverb,,"[""dr.""]",642
uważaj,watch out,misc,,"[""watch out""]",644
mogłem,I could,misc,(also: mógłbym),"[""i could"",""mogłem"",""moglem"",""mógłbym"",""moglbym""]",645
ciężko,hard,misc,,"[""hard""]",647
